Recency,Frequency,Monetary,R,F,M
12,2,4846,5,1,2
14,7,28269,4,5,5
12,2,6338,5,1,2
16,2,922,3,1,1
12,4,9347,5,3,3
16,6,21064,3,4,5
16,5,10063,3,4,4
16,3,12029,3,2,4
19,9,21158,2,5,5
18,6,8125,3,4,3
12,8,9374,5,5,3
18,7,13477,3,5,4
24,3,3053,2,2,1
7,4,8680,5,3,3
27,4,5270,1,3,2
16,7,13598,3,5,4
16,3,15411,3,2,5
28,3,1795,1,2,1
12,3,8809,5,2,3
12,5,11043,5,4,4
12,4,3055,5,3,1
0,6,15759,5,4,5
17,4,11025,3,3,4
20,10,18707,2,5,5
36,2,7533,1,1,3
16,4,2911,3,3,1
27,6,9360,1,4,3
31,4,9268,1,3,3
21,4,9301,2,3,3
17,4,6341,3,3,2
6,6,17408,5,4,5
3,10,14869,5,5,5
25,3,14282,2,2,5
19,5,11259,2,4,4
22,1,6143,2,1,2
17,2,5641,3,1,2
22,5,11078,2,4,4
36,2,3227,1,1,1
35,5,10636,1,4,4
40,1,7397,1,1,3
20,4,7468,2,3,3
19,7,8338,2,5,3
10,2,4306,5,1,2
43,2,3986,1,1,2
13,3,1792,4,2,1
20,6,20639,2,4,5
11,7,7725,5,5,3
14,4,6351,4,3,2
17,3,8879,3,2,3
11,2,9848,5,1,4
26,7,16393,1,5,5
1,5,8348,5,4,3
32,7,6216,1,5,2
34,1,2875,1,1,1
25,4,15853,2,3,5
13,8,9425,4,5,3
11,6,15350,5,4,5
3,6,17039,5,4,5
12,7,14629,5,5,5
25,8,19144,2,5,5
10,6,4375,5,4,2
20,2,2277,2,1,1
18,6,5486,3,4,2
17,1,2745,3,1,1
20,5,11216,2,4,4
8,9,19512,5,5,5
7,4,14760,5,3,5
25,2,4544,2,1,2
15,4,7627,4,3,3
14,7,15046,4,5,5
13,5,9186,4,4,3
31,1,2658,1,1,1
22,4,8449,2,3,3
3,8,8351,5,5,3
10,4,13214,5,3,4
14,5,5842,4,4,2
15,4,4786,4,3,2
13,1,4055,4,1,2
40,4,4137,1,3,2
18,7,13535,3,5,4
14,2,8726,4,1,3
35,4,7528,1,3,3
25,3,3968,2,2,2
12,4,14073,5,3,5
16,4,14949,3,3,5
18,2,2256,3,1,1
17,2,5323,3,1,2
18,5,8727,3,4,3
13,2,9420,4,1,3
29,5,14093,1,4,5
19,2,8088,2,1,3
28,4,6624,1,3,3
23,5,6423,2,4,2
12,5,8996,5,4,3
11,9,12461,5,5,4
10,6,20642,5,4,5
26,6,17612,1,4,5
26,5,12680,1,4,4
40,2,2811,1,1,1
20,7,7963,2,5,3
20,3,391,2,2,1
21,4,9073,2,3,3
21,3,12415,2,2,4
19,5,4136,2,4,2
26,1,3619,1,1,1
14,2,2994,4,1,1
14,6,8676,4,4,3
16,4,7542,3,3,3
12,8,24196,5,5,5
12,6,9859,5,4,4
13,2,1843,4,1,1
16,4,4312,3,3,2
8,5,2037,5,4,1
18,4,10570,3,3,4
9,3,644,5,2,1
19,3,2139,2,2,1
29,4,14877,1,3,5
17,4,11784,3,3,4
19,3,7015,2,2,3
17,6,11957,3,4,4
1,9,19510,5,5,5
12,7,13461,5,5,4
14,5,10855,4,4,4
14,4,6321,4,3,2
23,2,11668,2,1,4
20,5,13559,2,4,4
15,5,6561,4,4,2
37,2,8596,1,1,3
13,4,4402,4,3,2
17,1,4976,3,1,2
11,8,13873,5,5,5
13,4,5957,4,3,2
11,7,18863,5,5,5
10,5,5769,5,4,2
12,9,6603,5,5,2
18,3,9509,3,2,3
16,5,4864,3,4,2
2,8,14616,5,5,5
29,2,1109,1,1,1
20,4,6406,2,3,2
32,3,2690,1,2,1
14,2,6854,4,1,3
25,3,9357,2,2,3
11,2,3106,5,1,1
26,2,2653,1,1,1
12,4,6992,5,3,3
13,5,3961,4,4,2
20,7,18355,2,5,5
3,7,13906,5,5,5
12,5,20587,5,4,5
8,4,10682,5,3,4
39,2,8591,1,1,3
10,10,12240,5,5,4
24,4,3081,2,3,1
12,5,17267,5,4,5
20,4,13367,2,3,4
16,2,1743,3,1,1
16,5,6839,3,4,3
19,1,3033,2,1,1
25,5,14791,2,4,5
12,10,14177,5,5,5
15,4,10349,4,3,4
12,3,3865,5,2,2
11,7,15537,5,5,5
8,3,1642,5,2,1
14,6,19063,4,4,5
16,6,13369,3,4,4
12,2,3502,5,1,1
15,7,18923,4,5,5
5,4,3231,5,3,1
13,7,12624,4,5,4
7,3,4534,5,2,2
21,5,6222,2,4,2
11,4,8348,5,3,3
29,2,2939,1,1,1
20,6,16212,2,4,5
12,2,3392,5,1,1
3,10,17196,5,5,5
40,3,2075,1,2,1
38,2,1361,1,1,1
38,3,7374,1,2,3
15,4,7730,4,3,3
17,6,22822,3,4,5
5,2,5898,5,1,2
21,6,18082,2,4,5
20,6,7361,2,4,3
23,7,7313,2,5,3
13,7,14536,4,5,5
15,5,10139,4,4,4
29,3,10128,1,2,4
40,3,6127,1,2,2
15,6,9417,4,4,3
26,6,14651,1,4,5
11,4,13678,5,3,4
12,4,7086,5,3,3
9,8,24254,5,5,5
27,3,9575,1,2,3
33,5,7894,1,4,3
13,6,8740,4,4,3
26,2,4312,1,1,2
22,8,11638,2,5,4
9,9,22389,5,5,5
17,9,23871,3,5,5
12,10,20267,5,5,5
27,4,13562,1,3,4
14,4,3889,4,3,2
12,4,9046,5,3,3
12,11,24974,5,5,5
21,7,11321,2,5,4
13,3,807,4,2,1
21,4,7839,2,3,3
11,4,9719,5,3,4
33,2,2550,1,1,1
18,3,11853,3,2,4
16,5,16850,3,4,5
19,4,5284,2,3,2
19,1,387,2,1,1
23,4,10108,2,3,4
8,5,5310,5,4,2
14,3,1643,4,2,1
40,4,2327,1,3,1
13,9,14862,4,5,5
27,4,6507,1,3,2
13,3,10066,4,2,4
30,3,8805,1,2,3
20,6,10209,2,4,4
35,2,5496,1,1,2
23,4,16850,2,3,5
11,4,12248,5,3,4
13,4,8855,4,3,3
32,2,5559,1,1,2
20,2,3501,2,1,1
16,4,4744,3,3,2
14,7,6214,4,5,2
23,2,1330,2,1,1
38,1,232,1,1,1
19,4,6199,2,3,2
18,5,18667,3,4,5
13,7,25775,4,5,5
28,3,7905,1,2,3
40,1,1623,1,1,1
33,3,1359,1,2,1
9,4,5171,5,3,2
20,3,7175,2,2,3
13,2,3053,4,1,1
15,6,17535,4,4,5
16,3,822,3,2,1
11,4,6675,5,3,3
19,7,8199,2,5,3
14,3,7517,4,2,3
11,11,31969,5,5,5
23,1,5077,2,1,2
13,2,3717,4,1,1
13,3,1890,4,2,1
19,9,17383,2,5,5
12,9,16693,5,5,5
30,2,3185,1,1,1
30,1,1977,1,1,1
17,9,11420,3,5,4
19,2,3821,2,1,2
22,4,9520,2,3,3
14,6,14544,4,4,5
14,3,8543,4,2,3
24,4,12247,2,3,4
13,2,10121,4,1,4
16,4,6421,3,3,2
15,3,11279,4,2,4
26,3,2962,1,2,1
15,7,27705,4,5,5
14,5,25074,4,4,5
13,5,6016,4,4,2
12,5,11061,5,4,4
16,6,15942,3,4,5
38,4,2729,1,3,1
13,8,10466,4,5,4
13,4,4085,4,3,2
12,7,24400,5,5,5
15,5,19358,4,4,5
24,1,3490,2,1,1
17,4,2738,3,3,1
11,1,6506,5,1,2
19,9,20156,2,5,5
21,6,10031,2,4,4
12,5,16693,5,4,5
22,5,14382,2,4,5
12,3,2825,5,2,1
25,4,8058,2,3,3
15,5,18264,4,4,5
13,7,3850,4,5,2
19,2,10437,2,1,4
27,4,8119,1,3,3
13,7,16187,4,5,5
15,8,12582,4,5,4
17,6,7169,3,4,3
15,2,3681,4,1,1
18,6,8120,3,4,3
12,7,12916,5,5,4
29,4,1739,1,3,1
13,6,2007,4,4,1
13,7,18591,4,5,5
22,3,10339,2,2,4
12,4,12283,5,3,4
10,3,7898,5,2,3
31,2,8733,1,1,3
9,7,7740,5,5,3
42,1,5994,1,1,2
24,4,13613,2,3,4
10,5,18524,5,4,5
27,2,5140,1,1,2
12,1,1406,5,1,1
6,2,7868,5,1,3
2,4,5844,5,3,2
12,8,27560,5,5,5
11,6,7651,5,4,3
34,2,5793,1,1,2
22,2,2498,2,1,1
15,5,14826,4,4,5
14,2,8674,4,1,3
13,2,1363,4,1,1
12,4,10403,5,3,4
16,2,2562,3,1,1
20,1,477,2,1,1
21,5,3438,2,4,1
23,3,4696,2,2,2
15,10,7867,4,5,3
15,4,1100,4,3,1
12,7,5060,5,5,2
18,2,7045,3,1,3
24,3,10326,2,2,4
12,6,7880,5,4,3
16,6,14447,3,4,5
26,3,9314,1,2,3
12,3,5111,5,2,2
11,2,12716,5,1,4
27,3,6445,1,2,2
28,2,7014,1,1,3
15,4,14845,4,3,5
12,6,12643,5,4,4
24,6,17802,2,4,5
12,2,5696,5,1,2
17,7,6183,3,5,2
10,6,18323,5,4,5
11,1,1362,5,1,1
21,2,2186,2,1,1
27,4,10079,1,3,4
13,3,3481,4,2,1
18,5,5432,3,4,2
14,4,15753,4,3,5
15,3,8186,4,2,3
16,4,12592,3,3,4
21,4,17991,2,3,5
12,5,9407,5,4,3
24,5,4115,2,4,2
7,6,8159,5,4,3
12,2,1438,5,1,1
16,5,16138,3,4,5
19,4,8856,2,3,3
19,3,4247,2,2,2
14,4,7950,4,3,3
7,10,22540,5,5,5
24,3,7564,2,2,3
42,3,6254,1,2,2
12,7,19848,5,5,5
12,6,15205,5,4,5
34,1,4200,1,1,2
7,4,3510,5,3,1
11,5,10678,5,4,4
38,2,5801,1,1,2
17,9,12332,3,5,4
33,2,10015,1,1,4
27,2,1934,1,1,1
16,8,9872,3,5,4
26,1,1674,1,1,1
12,9,21011,5,5,5
19,2,1655,2,1,1
14,2,2018,4,1,1
36,1,209,1,1,1
16,7,11229,3,5,4
31,2,3739,1,1,1
15,4,11024,4,3,4
17,1,1310,3,1,1
12,5,4752,5,4,2
15,3,1872,4,2,1
11,6,2843,5,4,1
12,4,9133,5,3,3
21,6,6544,2,4,2
19,4,5658,2,3,2
13,4,2382,4,3,1
42,1,3208,1,1,1
30,1,2646,1,1,1
6,2,8963,5,1,3
25,1,169,2,1,1
14,4,9318,4,3,3
27,3,6497,1,2,2
14,3,9034,4,2,3
19,2,7478,2,1,3
12,2,6613,5,1,3
13,5,19453,4,4,5
20,4,8988,2,3,3
23,3,7203,2,2,3
29,3,9932,1,2,4
11,3,6277,5,2,2
26,3,6168,1,2,2
19,2,3370,2,1,1
4,3,10266,5,2,4
13,2,2076,4,1,1
19,6,3488,2,4,1
21,9,5737,2,5,2
15,6,15739,4,4,5
15,4,8916,4,3,3
5,7,13751,5,5,5
16,8,21588,3,5,5
12,3,11777,5,2,4
29,2,7201,1,1,3
10,5,19075,5,4,5
18,3,7654,3,2,3
11,5,4757,5,4,2
35,2,3061,1,1,1
33,1,1277,1,1,1
16,4,4336,3,3,2
10,3,9193,5,2,3
15,3,3499,4,2,1
14,4,12578,4,3,4
33,2,6333,1,1,2
14,4,17856,4,3,5
32,2,4832,1,1,2
14,4,7936,4,3,3
27,5,2721,1,4,1
14,11,22162,4,5,5
23,1,3222,2,1,1
31,3,13430,1,2,4
12,3,8531,5,2,3
0,5,11840,5,4,4
14,5,6917,4,4,3
16,3,9296,3,2,3
11,3,9302,5,2,3
14,2,1174,4,1,1
29,1,1902,1,1,1
27,4,10673,1,3,4
25,5,13563,2,4,4
24,3,3480,2,2,1
13,5,10992,4,4,4
27,4,12057,1,3,4
36,5,6765,1,4,3
40,1,245,1,1,1
15,5,2169,4,4,1
15,5,18415,4,4,5
12,5,17646,5,4,5
7,12,26788,5,5,5
14,7,18257,4,5,5
22,5,11784,2,4,4
16,3,187,3,2,1
42,1,2229,1,1,1
11,4,9915,5,3,4
10,8,21514,5,5,5
39,1,2496,1,1,1
21,3,7490,2,2,3
18,2,6964,3,1,3
27,5,4393,1,4,2
17,8,21604,3,5,5
31,7,6695,1,5,3
19,4,3791,2,3,1
17,5,7272,3,4,3
13,5,16971,4,4,5
20,3,5545,2,2,2
18,6,14762,3,4,5
14,7,16866,4,5,5
12,7,7470,5,5,3
1,6,13446,5,4,4
7,6,12215,5,4,4
23,1,266,2,1,1
13,7,9045,4,5,3
18,7,16524,3,5,5
11,6,14054,5,4,5
1,4,8201,5,3,3
35,1,7403,1,1,3
16,3,10978,3,2,4
14,9,16652,4,5,5
26,5,6909,1,4,3
13,8,16565,4,5,5
17,2,1849,3,1,1
11,4,9017,5,3,3
12,8,14807,5,5,5
27,2,7603,1,1,3
12,7,3674,5,5,1
40,1,3261,1,1,1
14,6,14179,4,4,5
12,7,13078,5,5,4
23,1,289,2,1,1
24,3,1403,2,2,1
18,2,1366,3,1,1
14,6,15595,4,4,5
15,6,13142,4,4,4
8,4,7120,5,3,3
11,11,32401,5,5,5
26,5,12271,1,4,4
30,4,7097,1,3,3
30,2,1334,1,1,1
16,7,9844,3,5,4
13,4,9622,4,3,3
29,2,8466,1,1,3
16,3,6576,3,2,2
20,5,7190,2,4,3
28,2,11548,1,1,4
25,7,21494,2,5,5
36,4,10406,1,3,4
12,3,6862,5,2,3
40,1,2632,1,1,1
19,3,8241,2,2,3
19,5,6028,2,4,2
25,5,15667,2,4,5
22,2,2517,2,1,1
30,3,8663,1,2,3
14,5,8510,4,4,3
13,8,13159,4,5,4
15,3,5665,4,2,2
11,5,12467,5,4,4
43,1,2088,1,1,1
45,1,1909,1,1,1
14,7,10264,4,5,4
35,2,3562,1,1,1
14,7,21371,4,5,5
11,6,15344,5,4,5
32,5,17825,1,4,5
12,6,7251,5,4,3
24,2,3538,2,1,1
19,4,17222,2,3,5
18,2,2182,3,1,1
41,2,6510,1,1,2
38,4,8353,1,3,3
41,1,1595,1,1,1
18,2,3096,3,1,1
16,5,4500,3,4,2
12,6,5292,5,4,2
26,2,8175,1,1,3
14,4,7297,4,3,3
17,5,15019,3,4,5
41,3,3976,1,2,2
28,4,7375,1,3,3
23,4,6875,2,3,3
24,4,3025,2,3,1
13,6,16052,4,4,5
27,2,4229,1,1,2
24,5,2661,2,4,1
12,4,4555,5,3,2
20,5,8714,2,4,3
29,3,913,1,2,1
19,4,4855,2,3,2
33,2,9769,1,1,4
14,7,19127,4,5,5
35,2,7674,1,1,3
17,3,10204,3,2,4
18,2,5845,3,1,2
17,1,1040,3,1,1
44,1,6263,1,1,2
12,5,7668,5,4,3
17,4,4048,3,3,2
29,6,6778,1,4,3
29,1,3865,1,1,2
25,4,840,2,3,1
19,8,12363,2,5,4
9,5,7853,5,4,3
23,4,9746,2,3,4
13,8,24727,4,5,5
13,2,8286,4,1,3
13,3,10247,4,2,4
24,3,4100,2,2,2
16,5,12236,3,4,4
17,2,4306,3,1,2
16,2,3452,3,1,1
11,6,12569,5,4,4
29,4,2395,1,3,1
15,4,9905,4,3,4
11,4,4456,5,3,2
10,4,5568,5,3,2
15,6,8337,4,4,3
38,3,6281,1,2,2
11,5,5803,5,4,2
13,3,8098,4,2,3
18,3,2063,3,2,1
18,6,22349,3,4,5
14,5,11696,4,4,4
14,5,15692,4,4,5
12,7,13904,5,5,5
18,2,3263,3,1,1
2,7,19720,5,5,5
13,7,14563,4,5,5
15,4,12480,4,3,4
14,3,3709,4,2,1
14,4,4808,4,3,2
12,8,27876,5,5,5
43,1,4431,1,1,2
23,3,4306,2,2,2
20,4,9763,2,3,4
14,8,20501,4,5,5
13,7,17856,4,5,5
21,1,1617,2,1,1
10,5,7120,5,4,3
19,3,8231,2,2,3
16,3,10031,3,2,4
13,6,14713,4,4,5
13,1,651,4,1,1
25,5,6758,2,4,3
11,2,4399,5,1,2
14,5,8759,4,4,3
12,8,15008,5,5,5
21,2,7753,2,1,3
30,2,3764,1,1,1
24,5,9117,2,4,3
14,5,5112,4,4,2
21,3,10002,2,2,4
16,4,6715,3,3,3
12,9,19916,5,5,5
19,3,10264,2,2,4
14,2,3860,4,1,2
13,3,2461,4,2,1
24,5,3998,2,4,2
13,3,7610,4,2,3
11,6,17176,5,4,5
6,5,10105,5,4,4
25,4,12097,2,3,4
13,4,8866,4,3,3
18,7,27791,3,5,5
12,5,1642,5,4,1
11,7,18101,5,5,5
21,6,12687,2,4,4
11,4,15077,5,3,5
17,5,12947,3,4,4
15,5,11959,4,4,4
27,2,9954,1,1,4
14,2,5336,4,1,2
19,5,5372,2,4,2
15,1,1162,4,1,1
38,1,1271,1,1,1
12,5,14914,5,4,5
12,6,12068,5,4,4
27,5,19018,1,4,5
19,2,2429,2,1,1
15,5,6862,4,4,3
13,6,17036,4,4,5
36,1,742,1,1,1
13,7,13591,4,5,4
19,7,23002,2,5,5
21,7,19501,2,5,5
21,4,9442,2,3,3
7,6,18867,5,4,5
13,6,9834,4,4,4
13,7,8826,4,5,3
37,3,4353,1,2,2
11,5,3707,5,4,1
19,3,5368,2,2,2
15,8,10999,4,5,4
11,6,26224,5,4,5
17,7,12513,3,5,4
5,5,11706,5,4,4
21,6,7964,2,4,3
12,6,10661,5,4,4
44,1,3490,1,1,1
22,6,3078,2,4,1
26,2,7550,1,1,3
17,3,11189,3,2,4
13,3,4311,4,2,2
11,5,7248,5,4,3
18,5,4973,3,4,2
23,4,7518,2,3,3
0,3,3037,5,2,1
19,5,6991,2,4,3
21,4,5133,2,3,2
13,6,7826,4,4,3
15,4,11738,4,3,4
20,5,9964,2,4,4
22,3,4560,2,2,2
7,2,9427,5,1,3
18,3,1955,3,2,1
22,5,13197,2,4,4
17,5,18262,3,4,5
16,2,1726,3,1,1
22,8,21625,2,5,5
33,1,672,1,1,1
20,7,14952,2,5,5
10,3,4658,5,2,2
15,8,20076,4,5,5
37,4,7313,1,3,3
21,2,11331,2,1,4
19,3,8869,2,2,3
22,4,10171,2,3,4
15,3,5295,4,2,2
31,2,12564,1,1,4
21,3,8086,2,2,3
12,6,10404,5,4,4
18,7,12774,3,5,4
15,2,5976,4,1,2
21,1,4684,2,1,2
14,5,2055,4,4,1
11,5,18624,5,4,5
20,5,12887,2,4,4
13,4,5351,4,3,2
1,7,9321,5,5,3
0,5,10371,5,4,4
13,6,9970,4,4,4
13,4,8697,4,3,3
16,6,12993,3,4,4
18,5,14212,3,4,5
23,3,6196,2,2,2
20,5,10927,2,4,4
14,5,5591,4,4,2
10,5,10296,5,4,4
21,3,13278,2,2,4
36,3,6762,1,2,3
19,3,6402,2,2,2
41,1,6381,1,1,2
14,1,1540,4,1,1
25,1,3856,2,1,2
24,6,16902,2,4,5
18,7,12904,3,5,4
12,3,12059,5,2,4
19,2,6487,2,1,2
11,4,10305,5,3,4
17,3,2382,3,2,1
22,1,4389,2,1,2
17,4,10090,3,3,4
45,3,1184,1,2,1
15,4,7274,4,3,3
17,8,7962,3,5,3
26,5,3566,1,4,1
16,4,12132,3,3,4
11,3,6358,5,2,2
11,5,4372,5,4,2
11,3,7372,5,2,3
18,4,5016,3,3,2
26,3,10951,1,2,4
24,2,10312,2,1,4
9,5,5780,5,4,2
15,5,8982,4,4,3
15,8,18905,4,5,5
11,6,13927,5,4,5
29,1,878,1,1,1
10,5,6707,5,4,3
14,4,10174,4,3,4
1,6,4850,5,4,2
11,7,19727,5,5,5
22,7,10312,2,5,4
26,3,10506,1,2,4
42,2,5990,1,1,2
7,6,13903,5,4,5
14,4,2035,4,3,1
10,8,9856,5,5,4
13,6,6057,4,4,2
16,7,23217,3,5,5
18,4,11549,3,3,4
12,5,6698,5,4,3
23,5,11116,2,4,4
15,2,5279,4,1,2
17,3,15076,3,2,5
10,5,14208,5,4,5
19,6,8904,2,4,3
39,1,5936,1,1,2
11,4,6304,5,3,2
20,2,4360,2,1,2
14,5,9411,4,4,3
39,2,6664,1,1,3
24,2,5801,2,1,2
35,3,6975,1,2,3
25,4,4814,2,3,2
30,3,6221,1,2,2
31,4,4814,1,3,2
15,3,3748,4,2,1
18,5,12245,3,4,4
12,7,6301,5,5,2
19,3,4769,2,2,2
21,6,16083,2,4,5
24,3,4625,2,2,2
41,1,2965,1,1,1
32,4,5257,1,3,2
11,4,15670,5,3,5
13,5,14957,4,4,5
10,7,16946,5,5,5
20,3,8729,2,2,3
11,5,20612,5,4,5
12,4,8121,5,3,3
27,4,8284,1,3,3
14,4,7828,4,3,3
21,6,10078,2,4,4
12,9,8535,5,5,3
37,2,4302,1,1,2
12,3,2128,5,2,1
10,4,9171,5,3,3
10,8,14068,5,5,5
14,1,1542,4,1,1
35,1,2628,1,1,1
13,9,6712,4,5,3
13,3,10601,4,2,4
9,5,1042,5,4,1
0,6,23683,5,4,5
11,8,16877,5,5,5
20,2,7992,2,1,3
12,6,12142,5,4,4
2,5,15509,5,4,5
15,2,5692,4,1,2
14,4,7552,4,3,3
15,6,15684,4,4,5
21,2,4120,2,1,2
14,2,5901,4,1,2
18,5,11954,3,4,4
15,6,18209,4,4,5
22,2,5485,2,1,2
29,1,2342,1,1,1
13,5,11399,4,4,4
30,4,4815,1,3,2
5,8,10093,5,5,4
16,3,15765,3,2,5
17,5,7413,3,4,3
20,1,3547,2,1,1
45,1,607,1,1,1
15,6,16921,4,4,5
13,5,8199,4,4,3
13,5,8195,4,4,3
15,8,13301,4,5,4
13,4,9657,4,3,4
13,3,5921,4,2,2
9,6,13735,5,4,5
17,7,11191,3,5,4
11,4,8400,5,3,3
11,3,14415,5,2,5
11,5,20018,5,4,5
13,2,4831,4,1,2
41,2,4015,1,1,2
40,2,8058,1,1,3
17,3,6949,3,2,3
29,1,5900,1,1,2
13,3,2090,4,2,1
19,1,1701,2,1,1
25,2,2479,2,1,1
29,3,3448,1,2,1
45,1,1792,1,1,1
35,3,7227,1,2,3
11,6,6768,5,4,3
19,3,5660,2,2,2
28,3,3770,1,2,1
20,2,8824,2,1,3
17,5,22680,3,4,5
17,6,8740,3,4,3
12,7,19920,5,5,5
25,6,8383,2,4,3
21,3,937,2,2,1
12,4,10162,5,3,4
17,5,755,3,4,1
24,1,4972,2,1,2
11,4,7089,5,3,3
18,2,2332,3,1,1
30,2,3382,1,1,1
26,1,3470,1,1,1
36,1,98,1,1,1
21,6,8954,2,4,3
25,3,10277,2,2,4
19,4,25870,2,3,5
23,2,3737,2,1,1
16,1,241,3,1,1
12,6,10497,5,4,4
20,6,13047,2,4,4
13,5,12124,4,4,4
10,5,2935,5,4,1
11,4,3874,5,3,2
15,2,7476,4,1,3
16,9,8223,3,5,3
10,6,10325,5,4,4
7,1,2470,5,1,1
38,1,890,1,1,1
14,5,8003,4,4,3
12,9,30493,5,5,5
24,3,3963,2,2,2
8,7,15649,5,5,5
16,4,10496,3,3,4
42,1,433,1,1,1
10,6,15508,5,4,5
17,5,6982,3,4,3
14,4,11742,4,3,4
18,8,11975,3,5,4
21,4,5476,2,3,2
17,3,8989,3,2,3
20,7,5843,2,5,2
29,2,3813,1,1,1
19,4,5590,2,3,2
14,3,3755,4,2,1
24,5,10834,2,4,4
30,3,8267,1,2,3
14,2,3972,4,1,2
29,2,4782,1,1,2
21,5,13664,2,4,4
22,3,2575,2,2,1
23,5,16113,2,4,5
18,3,7770,3,2,3
10,4,7142,5,3,3
24,7,15978,2,5,5
14,1,938,4,1,1
16,5,18688,3,4,5
18,7,8109,3,5,3
13,9,19211,4,5,5
13,1,2668,4,1,1
25,5,16401,2,4,5
34,3,9306,1,2,3
13,4,12758,4,3,4
24,1,234,2,1,1
18,2,6416,3,1,2
15,5,8080,4,4,3
14,4,8373,4,3,3
13,5,16000,4,4,5
19,6,12879,2,4,4
10,1,2201,5,1,1
26,6,11251,1,4,4
19,3,17746,2,2,5
11,10,21086,5,5,5
11,5,15692,5,4,5
14,3,12553,4,2,4
14,2,9525,4,1,3
5,4,9803,5,3,4
14,6,4831,4,4,2
22,5,12581,2,4,4
13,3,5621,4,2,2
9,9,21209,5,5,5
15,8,15804,4,5,5
39,1,1674,1,1,1
11,5,8929,5,4,3
15,6,18123,4,4,5
14,9,17896,4,5,5
35,3,7212,1,2,3
10,7,6443,5,5,2
5,7,10368,5,5,4
24,3,4028,2,2,2
14,4,6169,4,3,2
11,9,17566,5,5,5
34,3,9888,1,2,4
27,3,9936,1,2,4
15,3,5320,4,2,2
18,5,18210,3,4,5
17,2,5165,3,1,2
10,3,5298,5,2,2
12,2,5052,5,1,2
26,6,10040,1,4,4
13,4,8824,4,3,3
14,7,9957,4,5,4
12,4,6988,5,3,3
15,2,3938,4,1,2
17,4,15620,3,3,5
16,3,6494,3,2,2
18,2,3049,3,1,1
14,7,14277,4,5,5
39,1,6400,1,1,2
21,4,15412,2,3,5
23,5,15316,2,4,5
12,6,2938,5,4,1
40,3,1286,1,2,1
17,3,5206,3,2,2
19,4,17734,2,3,5
12,7,5185,5,5,2
23,4,5057,2,3,2
15,4,2860,4,3,1
41,3,13020,1,2,4
11,4,10304,5,3,4
13,6,9653,4,4,4
18,2,2505,3,1,1
40,1,311,1,1,1
12,2,8759,5,1,3
10,1,4773,5,1,2
10,5,1830,5,4,1
17,3,6960,3,2,3
10,3,4061,5,2,2
33,2,5912,1,1,2
33,5,11616,1,4,4
17,3,6605,3,2,2
14,3,4989,4,2,2
0,5,13204,5,4,4
13,4,6354,4,3,2
26,2,1404,1,1,1
11,6,18979,5,4,5
15,4,15696,4,3,5
16,4,13745,3,3,5
15,4,7780,4,3,3
20,3,9878,2,2,4
15,6,9849,4,4,4
7,3,3040,5,2,1
15,5,18009,4,4,5
10,4,7039,5,3,3
37,2,8779,1,1,3
14,5,11720,4,4,4
3,3,1987,5,2,1
20,1,1243,2,1,1
18,5,19919,3,4,5
17,4,3971,3,3,2
21,3,3909,2,2,2
6,2,4496,5,1,2
4,6,6388,5,4,2
17,1,523,3,1,1
13,5,11664,4,4,4
17,3,4513,3,2,2
12,7,7788,5,5,3
41,2,3487,1,1,1
11,7,15995,5,5,5
13,4,13299,4,3,4
22,4,8859,2,3,3
24,3,8988,2,2,3
15,4,6301,4,3,2
24,1,2479,2,1,1
13,4,4178,4,3,2
26,2,4647,1,1,2
13,6,15306,4,4,5
17,3,12331,3,2,4
20,5,15073,2,4,5
18,5,11573,3,4,4
12,4,1903,5,3,1
13,7,8048,4,5,3
5,5,11078,5,4,4
9,1,2974,5,1,1
12,4,10375,5,3,4
2,8,19688,5,5,5
23,2,8278,2,1,3
32,6,17668,1,4,5
24,2,9441,2,1,3
12,5,11538,5,4,4
2,5,9857,5,4,4
13,4,11166,4,3,4
12,6,13465,5,4,4
14,4,7455,4,3,3
25,4,15371,2,3,5
17,6,6702,3,4,3
29,2,5249,1,1,2
10,7,12593,5,5,4
37,7,7768,1,5,3
18,3,9511,3,2,3
5,9,11216,5,5,4
37,3,1480,1,2,1
18,2,6634,3,1,3
39,1,1991,1,1,1
33,5,11154,1,4,4
16,6,6716,3,4,3
11,3,4945,5,2,2
14,6,13093,4,4,4
12,6,26672,5,4,5
10,9,9330,5,5,3
12,8,10993,5,5,4
17,8,14195,3,5,5
18,2,9806,3,1,4
11,6,12255,5,4,4
11,6,12945,5,4,4
21,8,20899,2,5,5
20,4,14163,2,3,5
20,4,14490,2,3,5
30,3,18673,1,2,5
18,1,934,3,1,1
21,1,4253,2,1,2
13,2,2703,4,1,1
28,1,3055,1,1,1
12,7,13707,5,5,4
19,2,7390,2,1,3
15,4,13046,4,3,4
15,8,12655,4,5,4
12,3,3808,5,2,1
25,4,17954,2,3,5
12,7,13367,5,5,4
27,2,9409,1,1,3
24,11,20332,2,5,5
19,2,9234,2,1,3
27,2,5559,1,1,2
29,5,13260,1,4,4
18,6,13776,3,4,5
24,4,18205,2,3,5
16,5,11078,3,4,4
5,8,15476,5,5,5
13,8,19390,4,5,5
20,7,20131,2,5,5
21,3,9003,2,2,3
28,2,7039,1,1,3
14,8,4605,4,5,2
10,6,11792,5,4,4
10,6,12448,5,4,4
26,3,11382,1,2,4
1,9,16639,5,5,5
