Recency,Frequency,Monetary,R,F,M
32,2,6926,1,1,3
20,4,6001,2,3,2
15,6,15805,4,4,5
16,4,11011,3,3,4
10,3,2234,5,2,1
12,7,15382,5,5,5
14,4,12066,4,3,4
33,3,2143,1,2,1
33,3,4267,1,2,2
18,2,2222,3,1,1
19,2,8108,2,1,3
19,2,3944,2,1,2
23,5,7223,2,4,3
10,3,8394,5,2,3
17,3,3109,3,2,1
11,5,8855,5,4,3
16,4,5967,3,3,2
5,7,12629,5,5,4
35,2,2323,1,1,1
12,2,6308,5,1,2
17,3,5885,3,2,2
15,4,8384,4,3,3
23,3,7796,2,2,3
19,3,7732,2,2,3
25,2,3589,2,1,1
14,7,1360,4,5,1
13,5,9748,4,4,4
21,3,2313,2,2,1
27,4,13153,1,3,4
41,1,1966,1,1,1
30,6,12709,1,4,4
23,6,9109,2,4,3
27,2,8531,1,1,3
20,1,3679,2,1,1
21,4,4463,2,3,2
17,2,2081,3,1,1
20,4,7527,2,3,3
21,1,1796,2,1,1
17,2,6161,3,1,2
15,3,5359,4,2,2
25,5,14944,2,4,5
13,2,6080,4,1,2
17,9,33828,3,5,5
11,10,18989,5,5,5
25,4,8565,2,3,3
25,4,356,2,3,1
7,7,12969,5,5,4
12,3,7117,5,2,3
16,5,12435,3,4,4
16,6,17727,3,4,5
16,3,11330,3,2,4
12,4,9798,5,3,4
20,5,13704,2,4,4
15,4,10168,4,3,4
11,10,17962,5,5,5
13,1,2373,4,1,1
14,9,4155,4,5,2
23,2,1362,2,1,1
13,5,12006,4,4,4
32,2,6922,1,1,3
23,2,5043,2,1,2
11,3,10049,5,2,4
21,3,2791,2,2,1
17,3,6812,3,2,3
20,6,7122,2,4,3
42,1,6287,1,1,2
12,2,4117,5,1,2
14,4,13875,4,3,5
3,6,11434,5,4,4
9,7,6401,5,5,2
12,10,16705,5,5,5
0,6,3692,5,4,1
3,8,15009,5,5,5
9,3,4574,5,2,2
22,5,10063,2,4,4
27,4,22651,1,3,5
26,2,1234,1,1,1
20,3,8918,2,2,3
12,1,4393,5,1,2
16,5,7614,3,4,3
22,4,10728,2,3,4
11,5,14798,5,4,5
28,4,7106,1,3,3
23,3,10231,2,2,4
35,1,6176,1,1,2
24,3,10070,2,2,4
15,6,20830,4,4,5
11,6,17739,5,4,5
12,6,10217,5,4,4
19,2,10729,2,1,4
21,6,13079,2,4,4
13,3,6892,4,2,3
21,5,3793,2,4,1
0,8,9876,5,5,4
16,5,7048,3,4,3
14,6,19277,4,4,5
13,5,12341,4,4,4
26,2,8688,1,1,3
3,3,11683,5,2,4
18,4,4129,3,3,2
18,5,8264,3,4,3
0,7,15361,5,5,5
1,3,10046,5,2,4
28,1,1642,1,1,1
12,5,15951,5,4,5
15,5,23781,4,4,5
25,4,20557,2,3,5
12,5,11237,5,4,4
0,3,4068,5,2,2
33,3,9779,1,2,4
17,8,16715,3,5,5
45,1,7514,1,1,3
15,5,18194,4,4,5
14,4,10951,4,3,4
37,1,5657,1,1,2
10,4,1901,5,3,1
45,1,436,1,1,1
16,2,3550,3,1,1
11,10,9690,5,5,4
16,2,8579,3,1,3
19,6,14973,2,4,5
35,4,14387,1,3,5
14,5,12315,4,4,4
15,5,8069,4,4,3
22,2,3871,2,1,2
15,3,1105,4,2,1
10,2,1523,5,1,1
25,4,7484,2,3,3
18,3,6589,3,2,2
10,5,13806,5,4,5
33,2,4760,1,1,2
20,4,1845,2,3,1
26,6,24040,1,4,5
12,6,6011,5,4,2
23,4,6791,2,3,3
29,2,2251,1,1,1
25,3,2370,2,2,1
13,4,8265,4,3,3
20,1,901,2,1,1
23,3,5418,2,2,2
16,6,15213,3,4,5
40,2,9342,1,1,3
1,6,19731,5,4,5
9,7,13169,5,5,4
15,6,13138,4,4,4
16,5,20750,3,4,5
21,3,9154,2,2,3
16,5,8391,3,4,3
23,2,9162,2,1,3
20,2,4586,2,1,2
21,5,6732,2,4,3
16,3,10100,3,2,4
23,2,601,2,1,1
24,4,12983,2,3,4
21,2,5215,2,1,2
17,6,5731,3,4,2
10,6,12540,5,4,4
17,4,1573,3,3,1
34,2,7116,1,1,3
15,4,15995,4,3,5
12,6,18537,5,4,5
16,6,12859,3,4,4
11,5,11642,5,4,4
13,6,10431,4,4,4
21,2,2996,2,1,1
24,3,11503,2,2,4
13,4,11950,4,3,4
31,1,499,1,1,1
4,8,16043,5,5,5
12,3,1538,5,2,1
29,2,4442,1,1,2
1,6,30081,5,4,5
13,3,5982,4,2,2
21,1,6607,2,1,2
17,4,5775,3,3,2
28,3,433,1,2,1
12,6,10017,5,4,4
20,2,10477,2,1,4
14,4,6637,4,3,3
12,5,15790,5,4,5
15,4,8094,4,3,3
16,5,4604,3,4,2
44,2,9394,1,1,3
14,4,11195,4,3,4
11,5,10435,5,4,4
15,7,9312,4,5,3
14,8,15559,4,5,5
30,3,3943,1,2,2
13,4,6828,4,3,3
4,9,6388,5,5,2
15,5,9295,4,4,3
18,4,5797,3,3,2
37,1,552,1,1,1
10,6,8074,5,4,3
3,6,15612,5,4,5
29,1,1209,1,1,1
21,3,5098,2,2,2
12,7,13600,5,5,4
5,5,14752,5,4,5
3,5,4347,5,4,2
16,7,10695,3,5,4
11,4,4495,5,3,2
25,4,2720,2,3,1
13,8,15315,4,5,5
19,3,4026,2,2,2
17,4,13260,3,3,4
14,5,2340,4,4,1
13,3,4800,4,2,2
13,4,5333,4,3,2
12,5,5860,5,4,2
12,1,1428,5,1,1
17,2,2545,3,1,1
33,2,11961,1,1,4
18,7,7488,3,5,3
25,4,3444,2,3,1
26,5,8254,1,4,3
